class1,class2,count
spaghetti_bolognese,spaghetti_carbonara,26
pad_thai,spaghetti_carbonara,20
pad_thai,spaghetti_bolognese,19
hot_and_sour_soup,ramen,13
french_onion_soup,pancakes,12
beet_salad,greek_salad,12
chicken_wings,fried_calamari,10
french_onion_soup,lasagna,10
pancakes,waffles,10
french_toast,pancakes,10
filet_mignon,prime_rib,9
clam_chowder,french_onion_soup,9
fried_calamari,pad_thai,9
lasagna,pizza,9
beet_salad,caesar_salad,8
beet_salad,ceviche,8
ceviche,sashimi,8
sashimi,sushi,8
escargots,french_onion_soup,8
escargots,pancakes,8
bibimbap,ramen,8
lasagna,pancakes,8
miso_soup,ramen,8
clam_chowder,miso_soup,8
caprese_salad,greek_salad,8
french_toast,hamburger,8
hamburger,pancakes,8
fried_calamari,onion_rings,7
fried_rice,pad_thai,7
pad_thai,poutine,7
filet_mignon,steak,7
breakfast_burrito,fried_calamari,7
risotto,spaghetti_bolognese,7
bibimbap,pad_thai,7
pad_thai,paella,7
ceviche,spaghetti_carbonara,7
onion_rings,spaghetti_carbonara,7
ceviche,club_sandwich,7
fried_calamari,spaghetti_bolognese,7
ice_cream,prime_rib,7
spaghetti_bolognese,takoyaki,7
french_onion_soup,ramen,7
chicken_curry,ramen,7
edamame,guacamole,7
caprese_salad,deviled_eggs,7
hot_and_sour_soup,miso_soup,7
french_onion_soup,miso_soup,7
pad_thai,pulled_pork_sandwich,7
ravioli,scallops,7
lobster_bisque,miso_soup,7
pad_thai,pho,7
huevos_rancheros,pizza,7
fried_calamari,lobster_roll_sandwich,7
breakfast_burrito,pancakes,6
club_sandwich,pad_thai,6
french_toast,gyoza,6
beef_carpaccio,beet_salad,6
bruschetta,ceviche,6
fried_rice,spaghetti_bolognese,6
fried_calamari,fried_rice,6
eggs_benedict,sushi,6
hummus,ramen,6
filet_mignon,pancakes,6
beet_salad,tacos,6
club_sandwich,fish_and_chips,6
club_sandwich,lobster_roll_sandwich,6
dumplings,prime_rib,6
hot_and_sour_soup,pho,6
french_fries,lobster_roll_sandwich,6
creme_brulee,ravioli,6
baby_back_ribs,spaghetti_bolognese,6
onion_rings,spaghetti_bolognese,6
huevos_rancheros,macaroni_and_cheese,6
caesar_salad,ceviche,6
ramen,shrimp_and_grits,6
french_toast,spring_rolls,6
carrot_cake,red_velvet_cake,6
pad_thai,takoyaki,6
macarons,pancakes,6
escargots,lasagna,6
pulled_pork_sandwich,spaghetti_bolognese,6
club_sandwich,peking_duck,6
pancakes,tiramisu,6
baby_back_ribs,chocolate_cake,6
bread_pudding,pancakes,6
lobster_bisque,ramen,6
beet_salad,caprese_salad,6
pizza,spaghetti_bolognese,6
clam_chowder,lobster_bisque,6
breakfast_burrito,pad_thai,5
spaghetti_bolognese,tiramisu,5
beef_carpaccio,greek_salad,5
hummus,pancakes,5
eggs_benedict,filet_mignon,5
ceviche,lobster_roll_sandwich,5
beef_tartare,filet_mignon,5
cannoli,churros,5
clam_chowder,ramen,5
chicken_wings,steak,5
prime_rib,steak,5
cup_cakes,red_velvet_cake,5
poutine,spaghetti_bolognese,5
french_fries,poutine,5
grilled_salmon,lasagna,5
grilled_salmon,prime_rib,5
hamburger,sashimi,5
beignets,garlic_bread,5
french_toast,garlic_bread,5
garlic_bread,pancakes,5
caprese_salad,sushi,5
french_fries,pad_thai,5
frozen_yogurt,peking_duck,5
edamame,sashimi,5
pad_thai,steak,5
filet_mignon,risotto,5
frozen_yogurt,hot_and_sour_soup,5
fried_calamari,nachos,5
fried_calamari,shrimp_and_grits,5
fried_calamari,gnocchi,5
eggs_benedict,pancakes,5
eggs_benedict,fried_calamari,5
apple_pie,fried_calamari,5
chocolate_mousse,pad_thai,5
chocolate_mousse,peking_duck,5
baby_back_ribs,filet_mignon,5
pad_thai,ramen,5
prime_rib,ramen,5
ramen,spaghetti_carbonara,5
eggs_benedict,scallops,5
fried_calamari,prime_rib,5
pancakes,peking_duck,5
filet_mignon,ravioli,5
pork_chop,prime_rib,5
garlic_bread,grilled_cheese_sandwich,5
pancakes,prime_rib,5
chicken_curry,miso_soup,5
cheesecake,strawberry_shortcake,5
lasagna,shrimp_and_grits,5
pancakes,spring_rolls,5
hamburger,prime_rib,5
french_toast,ramen,5
chocolate_cake,pork_chop,5
beignets,macarons,5
crab_cakes,spaghetti_bolognese,5
french_onion_soup,lobster_bisque,5
